,販売実績額
644,2931335000
645,2409586000
646,2372806800
647,2376472200
648,2330337400
649,3041548600
650,3914037800
651,3582263200
652,2460270000
653,2531987000
654,2507498200
655,2275250000
656,2361697000
657,2397401600
658,2541224200
659,3064973000
660,2781691400
661,2365271400
662,2302912000
663,2379746600
664,2282619800
665,2291808400
666,2236973200
667,2815986400
668,2326362600
669,2330375200
670,2991297400
671,2447489000
672,2364978800
673,2949447600
674,2314002000
675,2279722400
676,2060311200
677,2226395600
678,2150902800
679,2741890400
680,2366117800
681,2195539600
682,2641007000
683,2158937400
684,2006387000
685,2183491800
686,2198191600
687,2217041200
688,2197759800
689,2251563600
690,2228276400
691,2830927800
692,2238225600
693,2260604800
694,2619532600
695,2266543400
696,2165052200
697,2254045200
698,2181120000
699,2188991600
700,2023510000
701,2178661400
702,2852042200
703,2476850000
704,2222627000
705,2281593600
706,2908292000
707,2292477000
708,2243491200
709,2242799000
710,2850473600
711,3597997200
712,3132974000
713,2335574600
714,2183945800
715,2260805800
716,2219427600
717,2221478800
718,2190954400
719,2813929600
720,2287074400
721,2969765400
722,3539990400
723,2540868200
724,3716111400
725,2994145800
726,2176962400
727,2999221200
728,2388016000
729,2393715200
730,2368568800
731,2435007400
732,2391659200
733,2346252400
734,2210885200
735,2301765800
736,2280495800
737,2306150800
738,2277831000
739,2334745000
740,2271575200
741,2254172000
742,2195141600
743,2161144000
744,2107993600
745,2143255600
746,2143322800
747,2158709800
748,2064813800
749,1919271200
750,1890071000
751,2326313200
752,1945229200
753,1943949400
754,1897940400
755,2319539400
756,1755846000
757,1927596800
758,1716840600
759,1841413200
760,1797970400
761,1798578200
762,1756628800
763,1799186800
764,1760586000
765,1756341600
766,1754887800
767,2111340200
768,2354423200
769,1755956800
770,1813763000
771,1749158800
772,2135334000
773,2519584200
774,1905744600
775,2235709000
776,1802216800
777,1806671200
778,1637943200
779,1767273600
780,1711830400
781,1743887000
782,1675072600
783,1722197000
784,1661099200
785,1667954600
786,1874406800
787,1599501800
788,1672024000
789,1677817400
790,2006226000
791,1758412600
792,1699152200
793,1692416000
794,2047499200
795,2396022800
796,1570944200
797,1745255200
798,1601434800
799,2266485800
800,1721249600
801,1724788200
802,1653413800
803,1671515800
804,1821269000
805,1695351800
806,1662204800
807,2003553000
808,1706129800
809,2077238600
810,1593972800
811,1685895400
812,1650524800
813,1973146200
814,1656974200
815,1645024000
816,1591959600
817,1650770200
818,1616665200
819,1927276000
820,1621987600
821,1664941600
822,1669932800
823,1655419800
824,1573263400
825,2027363400
826,1673211800
827,1671641800
828,1984847800
829,1609579400
830,1709674400
831,1662536200
832,1646883600
833,1678502200
834,1679381600
835,2029552200
836,1645130600
837,1558645800
838,1912495800
839,1578113000
840,1602498600
841,1603778000
842,1884186600
843,1629673200
844,1613654000
845,1888325200
846,1584660200
847,1926954400
848,2121531800
849,1632933600
